[0. 0.],[0.5 0. ],[0.0074401  0.49722573],
[0.69924338 0.80706179],[0.20668348 0.30428752],[0.70668348 0.30428752],
[0.21412358 0.80151324],[0.71412358 0.80151324],[0.22156368 0.29873897],
[0.72156368 0.29873897],[0.22900378 0.79596469],[0.72900378 0.79596469],
[0.23644388 0.29319042],[0.73644388 0.29319042],[0.24388398 0.79041614],
[0.74388398 0.79041614],[0.25132409 0.28764187],[0.75132409 0.28764187],
[0.25876419 0.78486759],[0.75876419 0.78486759],[0.26620429 0.28209332],
[0.76620429 0.28209332],[0.27364439 0.77931904],[0.77364439 0.77931904],
[0.28108449 0.27654477],[0.78108449 0.27654477],[0.28852459 0.77377049],
[0.78852459 0.77377049],[0.29596469 0.27099622],[0.79596469 0.27099622],
[0.30340479 0.76822194],[0.80340479 0.76822194],[0.31084489 0.26544767],
[0.81084489 0.26544767],[0.31828499 0.76267339],[0.81828499 0.76267339],
[0.32572509 0.25989912],[0.82572509 0.25989912],[0.3331652  0.75712484],
[0.8331652  0.75712484],[0.3406053  0.25435057],[0.8406053  0.25435057],
[0.3480454  0.75157629],[0.8480454  0.75157629],[0.3554855  0.24880202],
[0.8554855  0.24880202],[0.3629256  0.74602774],[0.8629256  0.74602774],
[0.3703657  0.24325347],[0.8703657  0.24325347],[0.3778058  0.74047919],
[0.8778058  0.74047919],[0.3852459  0.23770492],[0.8852459  0.23770492],
[0.392686   0.73493064],[0.892686   0.73493064],[0.4001261  0.23215637],
[0.9001261  0.23215637],[0.4075662  0.72938209],[0.9075662  0.72938209],
[0.41500631 0.22660782],[0.91500631 0.22660782],[0.42244641 0.72383354],
[0.92244641 0.72383354],[0.42988651 0.22105927],[0.92988651 0.22105927],
[0.43732661 0.71828499],[0.93732661 0.71828499],[0.44476671 0.21551072],
[0.94476671 0.21551072],[0.45220681 0.71273644],[0.95220681 0.71273644],
[0.45964691 0.20996217],[0.95964691 0.20996217],[0.46708701 0.70718789],
[0.96708701 0.70718789],[0.47452711 0.20441362],[0.97452711 0.20441362],
[0.48196721 0.70163934],[0.98196721 0.70163934],[0.48940731 0.19886507],
[0.98940731 0.19886507],[0.49684741 0.69609079],[0.99684741 0.69609079],
[0.50428752 0.19331652],[0.00428752 0.19331652],[0.51172762 0.69054224],
[0.01172762 0.69054224],[0.51916772 0.18776797],[0.01916772 0.18776797],
[0.52660782 0.68499369],[0.02660782 0.68499369],[0.53404792 0.18221942],
[0.03404792 0.18221942],[0.54148802 0.67944515],[0.04148802 0.67944515],
[0.54892812 0.17667087],[0.04892812 0.17667087],[0.55636822 0.6738966 ],
[0.05636822 0.6738966 ],[0.56380832 0.17112232],[0.06380832 0.17112232],
[0.57124842 0.66834805],[0.07124842 0.66834805],[0.57868852 0.16557377],
[0.07868852 0.16557377],[0.58612863 0.6627995 ],[0.08612863 0.6627995 ],
[0.59356873 0.16002522],[0.09356873 0.16002522],[0.60100883 0.65725095],
[0.10100883 0.65725095],[0.60844893 0.15447667],[0.10844893 0.15447667],
[0.61588903 0.6517024 ],[0.11588903 0.6517024 ],[0.62332913 0.14892812],
[0.12332913 0.14892812],[0.63076923 0.64615385],[0.13076923 0.64615385],
[0.63820933 0.14337957],[0.13820933 0.14337957],[0.64564943 0.6406053 ],
[0.14564943 0.6406053 ],[0.65308953 0.13783102],[0.15308953 0.13783102],
[0.66052963 0.63505675],[0.16052963 0.63505675],[0.66796974 0.13228247],
[0.16796974 0.13228247],[0.67540984 0.6295082 ],[0.17540984 0.6295082 ],
[0.68284994 0.12673392],[0.18284994 0.12673392],[0.69029004 0.62395965],
[0.19029004 0.62395965],[0.69773014 0.12118537],[0.19773014 0.12118537],
[0.70517024 0.6184111 ],[0.20517024 0.6184111 ],[0.71261034 0.11563682],
[0.21261034 0.11563682],[0.72005044 0.61286255],[0.22005044 0.61286255],
[0.72749054 0.11008827],[0.22749054 0.11008827],[0.73493064 0.607314  ],
[0.23493064 0.607314  ],[0.74237074 0.10453972],[0.24237074 0.10453972],
[0.74981084 0.60176545],[0.24981084 0.60176545],[0.75725095 0.09899117],
[0.25725095 0.09899117],[0.76469105 0.5962169 ],[0.26469105 0.5962169 ],
[0.77213115 0.09344262],[0.27213115 0.09344262],[0.77957125 0.59066835],
[0.27957125 0.59066835],[0.78701135 0.08789407],[0.28701135 0.08789407],
[0.79445145 0.5851198 ],[0.29445145 0.5851198 ],[0.80189155 0.08234552],
